track,horizon,tower,model,order,RMSE,MAE,R2,MBE,n_test,skill_persist,WAPE,MASE,sMAPE,MAPE,MAPE_n_excluded
A,1,4,SARIMAX,"(2, 1, 1)",70.252,35.673,-0.168,12.736,279,0.245,1.247,1.0825,1.2563,3.71,23
A,6,4,SARIMAX,"(2, 1, 1)",113.646,51.212,0.147,7.258,270,0.24,1.1551,0.9211,1.3165,3.9345,18
A,12,4,SARIMAX,"(2, 1, 1)",114.409,56.443,0.038,-1.004,314,0.012,1.1356,1.012,1.4194,3.1066,10
A,24,4,SARIMAX,"(2, 1, 1)",105.004,47.077,-0.237,15.114,276,0.177,1.4218,0.9417,1.4126,4.4056,26
A,48,4,SARIMAX,"(2, 1, 1)",104.238,49.156,-0.215,15.384,275,0.189,1.4836,0.9232,1.411,4.7333,26
A,1,9,SARIMAX,"(2, 1, 1)",57.402,32.088,-0.294,11.659,237,-0.033,1.068,1.0986,1.1741,2.7038,12
A,6,9,SARIMAX,"(2, 1, 1)",128.723,59.632,0.014,2.147,221,0.053,1.1815,1.0599,1.3566,3.9706,16
A,12,9,SARIMAX,"(2, 1, 1)",168.819,75.007,0.116,-9.61,271,0.102,1.0337,0.9464,1.3946,3.0448,12
A,24,9,SARIMAX,"(2, 1, 1)",79.342,49.877,-0.679,24.698,235,-0.05,1.5252,1.1378,1.423,4.1632,16
A,48,9,SARIMAX,"(2, 1, 1)",82.845,51.076,-0.83,25.853,235,0.081,1.5618,1.0295,1.4145,4.0397,16
B,1,4,SARIMAX,"(2, 1, 1)",54.55,35.785,0.371,10.115,566,-0.06,0.9369,1.1803,1.1462,3.2534,29
B,3,4,SARIMAX,"(2, 1, 1)",66.571,46.121,0.066,19.709,564,-0.022,1.2042,1.217,1.2545,4.4849,29
B,7,4,SARIMAX,"(2, 1, 1)",75.467,55.101,-0.194,30.398,560,0.027,1.4315,1.2142,1.2655,5.7673,29
B,14,4,SARIMAX,"(2, 1, 1)",80.071,60.395,-0.33,36.659,554,0.179,1.5598,1.0891,1.3024,6.5572,29
B,1,9,SARIMAX,"(2, 1, 1)",55.629,34.207,0.282,7.142,457,0.034,0.834,1.0628,1.1016,2.7104,25
B,3,9,SARIMAX,"(2, 1, 1)",63.839,42.131,0.055,15.314,457,0.125,1.0272,1.0474,1.134,4.1207,25
B,7,9,SARIMAX,"(2, 1, 1)",66.304,47.849,-0.012,23.489,453,0.234,1.1618,1.0058,1.1863,5.2544,25
B,14,9,SARIMAX,"(2, 1, 1)",66.974,50.77,-0.023,27.657,447,0.216,1.2195,1.031,1.2039,5.7475,25
A,1,2,SARIMAX,varies(folds),165.931,45.889,-0.953,8.101,110,0.434,1.3315,0.8326,1.2146,15.1954,10
A,6,2,SARIMAX,varies(folds),49.755,33.581,0.158,4.29,97,0.357,1.0654,0.9402,1.2431,3.6454,5
A,12,2,SARIMAX,varies(folds),76.082,37.019,-0.075,5.768,141,0.182,0.9731,0.7957,1.1983,1.9019,5
A,24,2,SARIMAX,varies(folds),289.241,70.583,-0.007,-12.303,103,0.292,1.2845,0.7325,1.3553,7.484,9
A,48,2,SARIMAX,varies(folds),289.243,71.599,-0.007,-13.053,103,0.288,1.303,0.7719,1.3506,7.7736,9
B,1,2,SARIMAX,varies(folds),43.6,25.446,0.102,4.808,245,0.093,0.867,0.9546,0.9864,2.0774,15
B,3,2,SARIMAX,varies(folds),48.516,28.767,-0.096,5.474,241,0.067,0.9708,1.0215,1.0826,2.4087,15
B,7,2,SARIMAX,varies(folds),48.972,31.031,-0.309,8.432,233,0.107,1.0781,0.974,1.139,2.8703,15
B,14,2,SARIMAX,varies(folds),52.03,34.408,-0.459,9.464,219,0.145,1.2129,0.949,1.2071,3.4302,14
