method,model,track,tower,horizon,PICP,MPIW,pinball,n
conformal,RF,A,4,1,0.886,227.4,,7109
conformal,RF,A,9,1,0.872,217.7,,5848
conformal,RF,A,4,6,0.888,260.9,,7109
conformal,RF,A,9,6,0.852,237.5,,5848
conformal,RF,A,4,12,0.884,236.8,,7109
conformal,RF,A,9,12,0.869,232.6,,5848
conformal,RF,A,4,24,0.883,253.3,,7109
conformal,RF,A,9,24,0.863,244.8,,5848
conformal,RF,A,4,48,0.885,257.6,,7109
conformal,RF,A,9,48,0.845,235.8,,5848
conformal,DLinear,B,4,1,0.875,155.2,,566
conformal,DLinear,B,4,3,0.872,165.6,,564
conformal,DLinear,B,4,7,0.846,159.9,,560
conformal,DLinear,B,4,14,0.841,142.5,,554
conformal,DLinear,B,9,1,0.912,150.9,,457
conformal,DLinear,B,9,3,0.915,150.9,,457
conformal,DLinear,B,9,7,0.892,147.1,,453
conformal,DLinear,B,9,14,0.895,153.2,,447
quantile,XGB,A,4,1,0.861,165.5,14.83,7109
quantile,XGB,A,9,1,0.863,187.1,15.46,5848
quantile,XGB,A,4,6,0.865,174.4,16.04,7109
quantile,XGB,A,9,6,0.871,211.3,16.27,5848
quantile,XGB,A,4,12,0.86,176.8,15.89,7109
quantile,XGB,A,9,12,0.869,214.6,16.26,5848
quantile,XGB,A,4,24,0.863,180.0,15.95,7109
quantile,XGB,A,9,24,0.864,198.2,16.46,5848
quantile,XGB,A,4,48,0.856,180.4,16.37,7109
quantile,XGB,A,9,48,0.865,207.8,16.74,5848
quantile,XGB,B,4,1,0.804,100.0,8.85,567
quantile,XGB,B,9,1,0.83,111.6,8.77,458
quantile,XGB,B,4,3,0.801,105.9,9.07,567
quantile,XGB,B,9,3,0.819,106.3,9.0,458
quantile,XGB,B,4,7,0.804,105.1,9.22,567
quantile,XGB,B,9,7,0.832,111.3,9.28,458
quantile,XGB,B,4,14,0.817,111.6,9.84,567
quantile,XGB,B,9,14,0.843,110.5,9.3,458
quantile,LSTM,A,4,1,0.818,200.6,16.14,1160
quantile,LSTM,A,4,6,0.763,189.5,19.05,1166
quantile,LSTM,A,4,12,0.737,188.6,19.87,1165
quantile,LSTM,A,4,24,0.736,184.9,20.13,1165
quantile,LSTM,A,4,48,0.731,184.3,20.17,1163
quantile,LSTM,A,9,1,0.883,219.9,16.6,984
quantile,LSTM,A,9,6,0.804,181.4,19.01,980
quantile,LSTM,A,9,12,0.764,162.6,19.71,980
quantile,LSTM,A,9,24,0.758,144.7,19.96,980
quantile,LSTM,A,9,48,0.755,140.2,19.95,980
quantile,LSTM,B,4,1,0.776,123.7,9.99,566
quantile,LSTM,B,4,3,0.73,131.1,10.94,564
quantile,LSTM,B,4,7,0.662,132.8,12.85,560
quantile,LSTM,B,4,14,0.623,133.9,13.85,554
quantile,LSTM,B,9,1,0.867,126.7,9.2,457
quantile,LSTM,B,9,3,0.845,125.2,9.66,457
quantile,LSTM,B,9,7,0.804,114.7,10.84,453
quantile,LSTM,B,9,14,0.738,112.8,11.62,447
